date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:37	160548/160548	---M-Z	200	added ('OK')	application/octet-stream	etag:%2261223e9e-27324%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.ttf	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.ttf	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:37	112916/112916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-1b914%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.eot?v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesomeeb4f.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:38	592839/592839	---M-Z	200	added ('OK')	image/svg+xml	etag:%2261223e9e-90bc7%22	https://www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.svg	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/fa-solid-900.svg	(from https://www.ourstrategyconsultantsbc.com/static/css/fontawesome-all.css)
13:29:38	45108/45108	---M--	200	added ('OK')	font/woff2	etag:%2261223e9e-b034%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.woff2?v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesomeeb4f.woff2	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:39	112916/112916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-1b914%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.eot??v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesome0176.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:39	57436/57436	---M--	200	added ('OK')	application/font-woff	etag:%2261223e9e-e05c%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.woff?v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesomeeb4f.woff	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:39	112728/112728	---M-Z	200	added ('OK')	application/octet-stream	etag:%2261223e9e-1b858%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.ttf?v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesomeeb4f.ttf	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:40	433695/433695	---M-Z	200	added ('OK')	image/svg+xml	etag:%2261223e9e-69e1f%22	https://www.ourstrategyconsultantsbc.com/static/fonts/line-awesome.svg?v=1.1.	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/line-awesomeeb4f.svg	(from https://www.ourstrategyconsultantsbc.com/static/css/line-awesome.min.css)
13:29:40	18846/18846	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-499e%22	https://www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.eot	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/base.css)
13:29:40	18846/18846	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261223e9e-499e%22	https://www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.eot?	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/Flaticond41d.eot	(from https://www.ourstrategyconsultantsbc.com/static/css/base.css)
13:29:41	11592/11592	---M--	200	added ('OK')	application/font-woff	etag:%2261223e9e-2d48%22	https://www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.woff	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.woff	(from https://www.ourstrategyconsultantsbc.com/static/css/base.css)
13:29:41	18668/18668	---M-Z	200	added ('OK')	application/octet-stream	etag:%2261223e9e-48ec%22	https://www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.ttf	C:/Users/anton/OneDrive/Desktop/biznetics/www.ourstrategyconsultantsbc.com/static/fonts/Flaticon.ttf	(from https://www.ourstrategyconsultantsbc.com/static/css/base.css)
